ID_site,site_x,site_y
605,-17.87067448,28.49392815
606,-17.87134444,28.500925
704,-17.86085555,28.48403889
705,-17.86159721,28.4917472
706,-17.86138333,28.49980278
707,-17.86811667,28.51119167
803,-17.85384722,28.47523056
804,-17.84598612,28.48619724
805,-17.85021944,28.4925
806,-17.85015554,28.50225556
807,-17.85188888,28.51057222
808,-17.84990555,28.52013334
903,-17.840275,28.47418332
904,-17.84105279,28.48161112
905,-17.84060278,28.49200835
906,-17.84239445,28.50096111
907,-17.84136666,28.50941667
908,-17.84130556,28.51836388
1005,-17.83094444,28.49223333
1006,-17.83145,28.50158055
1007,-17.83018889,28.50875278
1008,-17.83141944,28.51698056
1105,-17.82429999,28.49318611
1106,-17.82204446,28.501375
1107,-17.82239445,28.51060277
1003,-17.8315223,28.47439742
1004,-17.831501,28.484365
1104,-17.82577595,28.48061548
620,-17.87106112,28.62755277
622,-17.87148889,28.64826111
721,-17.86253727,28.6363336
722,-17.86204167,28.64567223
821,-17.85139166,28.63595556
822,-17.85039444,28.64588889
823,-17.85136944,28.65491389
920,-17.84251667,28.62810278
921,-17.84451112,28.63708337
922,-17.84196667,28.64504166
1020,-17.83538889,28.62919722
1021,-17.83199442,28.63516942
418,-17.89528613,28.60857499
420,-17.88833054,28.63073334
518,-17.88096666,28.60523889
521,-17.88634165,28.63726388
522,-17.88227777,28.64281667
621,-17.87477777,28.64051667
720,-17.86115834,28.62737778
819,-17.84988334,28.61628612
820,-17.85016945,28.62599722
919,-17.84109165,28.6150611
923,-17.84212778,28.65766388
924,-17.84713335,28.66428055
1018,-17.8326861,28.60914444
1019,-17.83377222,28.61498889
1022,-17.83250833,28.64330555
1023,-17.83375833,28.65797778
1024,-17.83755555,28.66629445
1119,-17.82316813,28.61807623
1220,-17.80808789,28.62551043
1221,-17.80945749,28.63437186
1317,-17.799667,28.603027
1320,-17.80236944,28.62801389
1321,-17.80101111,28.63775278
1417,-17.788657,28.601152
1418,-17.787777,28.609442
1420,-17.79009633,28.62595531
1517,-17.781892,28.600924
9999,-16.5369647,28.2859221
