ID_rec	ID_site	ID_xml	rec_fl_adu	rec_fl_ex_n	rec_fl_ex_s	rec_fl_ey_e	rec_fl_ey_w	rec_fl_joblist	rec_fl_note	rec_fl_operator	rec_fl_rec_start	rec_fl_remote_reference	rec_mag_dec	rec_qc_date	rec_qc_exception	rec_qc_note	rec_qc_nsp	rec_qc_qcby	rec_qc_status	rec_x	rec_xml_num_of_jobs	rec_y
9050	905	051_2025-03-13_12-03-45, 051_2025-03-13_12-11-45, 051_2025-03-13_13-00-00, 051_2025-03-13_13-06-00, 051_2025-03-13_13-17-00, 051_2025-03-13_13-44-00	051	38.0	37.0	40.0	44.0	LaPalma_ADU7	Urban area, garbage disposal area 50m	Adam		0.0	-4.311419098439712						Pending	-17.84060278	6.0	28.49200835
9060	906	221_2025-03-03_12-33-38, 221_2025-03-03_12-36-38, 221_2025-03-03_13-00-00, 221_2025-03-03_13-06-00, 221_2025-03-03_13-17-00, 221_2025-03-03_13-44-00	221	50.0	50.0	50.0	50.0	LaPalma_ADU7	slope in E	Vincent	2025-03-03 13:00:00+00:00	0.0	-4.315658066782183	2025-03-04				Vincent	Rejected	-17.84239445	6.0	28.50096111
9070	907	025_2025-03-03_11-06-44, 025_2025-03-03_11-09-44, 025_2025-03-03_13-00-00, 025_2025-03-03_13-06-00, 025_2025-03-03_13-17-00, 025_2025-03-03_13-44-00	025	50.0	50.0	50.0	50.0	LaPalma_ADU8		Vincent	2025-03-03 13:00:00+00:00	0.0	-4.314676870387093	2025-03-04		scattered 200-2000 Hz		Vincent	Accepted	-17.84136666	6.0	28.50941667
9080	908	025_2025-02-28_11-42-44, 025_2025-02-28_13-00-00, 025_2025-02-28_13-06-00, 025_2025-02-28_13-17-00, 025_2025-03-01_14-18-29, 025_2025-03-01_14-24-29, 025_2025-03-01_14-35-29, 025_2025-03-01_15-02-29	025	50.0	50.0	50.0	50.0	LaPalma_ADU8	volcanic dust, meas. Of 256 Hz didn’t start corretly, restarted 1/3/2025 at 14:15	Vincent	2025-02-28 13:00:00+00:00	0.0	-4.315282752918269	2025-03-03		42 hours of meas.		Vincent	Accepted	-17.84130556	8.0	28.51836388
9190	919												-7.961818945632567						Projected	-17.8410916515209		28.6150610976699
10050	1005	051_2025-03-11_11-09-40, 051_2025-03-11_11-17-40, 051_2025-03-11_13-00-00, 051_2025-03-11_13-06-00, 051_2025-03-11_13-17-00, 051_2025-03-11_13-44-00	051	50.0	50.0	50.0		LaPalma_ADU7	road 50m, house +metal fence 50m, powerline 250m	Adam	2025-03-11 11:11:00+00:00	0.0	-4.308703117316102						Pending	-17.83094444	6.0	28.49223333
10060	1006	282_2025-03-08_11-17-24, 282_2025-03-08_11-25-24, 282_2025-03-08_13-00-00, 282_2025-03-08_13-06-00, 282_2025-03-08_13-17-00, 282_2025-03-08_13-44-00	282	50.0	50.0	50.0		LaPalma_ADU7		Vincent		0.0	-4.309486570466929						Pending	-17.83145	6.0	28.50158055
10070	1007	051_2025-03-01_09-59-12, 051_2025-03-01_10-02-12	051	50.0	50.0	50.0	50.0	LaPalma_ADU7	volcanic dust	Vincent	2025-03-01 13:00:00+00:00	0.0	-4.311466374150561	2025-03-03		noisy		Vincent	Rejected	-17.83018889	2.0	28.50875278
10080	1008	282_2025-03-01_11-37-16, 282_2025-03-01_11-40-16, 282_2025-03-01_13-00-00, 282_2025-03-01_13-06-00, 282_2025-03-01_13-17-00, 282_2025-03-01_13-44-00	282	50.0	50.0	50.0	50.0	LaPalma_ADU7	slope in Ey	Vincent	2025-03-01 13:00:00+00:00	0.0	-4.311331031145637	2025-03-03				Vincent	Accepted	-17.83141944	6.0	28.51698056
10180	1018												-7.9587824705795835						Projected	-17.8326860980004		28.6091444429679
10190	1019												-7.95893201733844						Projected	-17.8337722246369		28.614988892075
11050	1105	077_2025-03-10_12-29-15, 077_2025-03-10_12-32-15, 077_2025-03-10_13-00-00, 077_2025-03-10_13-06-00, 077_2025-03-10_13-17-00, 077_2025-03-10_13-44-00	077	50.0	50.0	50.0	48.0	LaPalma_ADU8		Vincent		0.0	-4.306619020037216						Pending	-17.82429999	6.0	28.49318611
11060	1106	221_2025-03-10_10-20-05, 221_2025-03-10_10-28-05, 221_2025-03-10_13-00-00, 221_2025-03-10_13-06-00, 221_2025-03-10_13-17-00, 221_2025-03-10_13-44-00	221	50.0	50.0	50.0	50.0	LaPalma_ADU7		Vincent		0.0	-4.305206076842774						Pending	-17.82204446	6.0	28.501375
11070	1107	051_2025-03-08_13-27-05, 051_2025-03-08_13-44-00, 051_2025-03-09_13-00-00, 051_2025-03-09_13-06-00, 051_2025-03-09_13-17-00, 051_2025-03-09_13-44-00	051	50.0	50.0	50.0	50.0	LaPalma_ADU7		Vincent		0.0	-4.3055197161517755						Rejected	-17.82239445	6.0	28.51060277
8220	822	221_2025-03-14_10-30-10, 221_2025-03-14_10-38-10, 221_2025-03-14_10-59-11, 221_2025-03-14_11-07-11, 221_2025-03-14_13-10-32, 221_2025-03-14_13-17-00, 221_2025-03-14_13-44-00, 221_2025-03-15_14-53-07	221	50.0	50.0	45.0	50.0	LaPalma_ADU7	house 100m, fence 50m, old rock field overgrown with forest very noisy LF data	Adam		0.0	-4.303689287012809						Pending	-17.8503944394235	8.0	28.6458888888519
9210	921	221_2025-03-19_13-00-00, 221_2025-03-19_13-31-00, 221_2025-03-19_14-32-00	221	50.0	50.0	50.0	50.0	2LaPalma_v2_ADU7	No test due to the heavy rain, Ex, Ey slope, house 100m 	Adam	2025-03-26 12:41:55+00:00		-4.300037197358469						Pending	-17.8445111241827	3.0	28.6370833692641
9220	922	077_2025-03-14_12-16-49, 077_2025-03-14_12-19-49, 077_2025-03-14_13-00-00, 077_2025-03-14_13-06-00, 077_2025-03-14_13-17-00, 077_2025-03-14_13-44-00	077	44.0	40.0	43.0	46.0	LaPalma_ADU8	Rock field, high ground res.	Adam		0.0	-4.300657870453889						Pending	-17.8419666698506	6.0	28.6450416599532
10030	1003	221_2025-03-12_10-01-59, 221_2025-03-12_10-09-59, 221_2025-03-12_13-00-00, 221_2025-03-12_13-06-00, 221_2025-03-12_13-17-00, 221_2025-03-12_13-44-00	221		52.0			LaPalma_ADU7		Adam	2025-03-12 10:05:00+00:00	0.0	-4.309770783167155						Pending	-17.8315223	6.0	28.47439742
10040	1004	282_2025-03-11_12-50-20, 282_2025-03-11_12-53-20, 282_2025-03-11_13-00-00, 282_2025-03-11_13-06-00, 282_2025-03-11_13-17-00, 282_2025-03-11_13-44-00	282	50.0	48.0	45.0	50.0	LaPalma_ADU7	road 100m , Ex+Ey slope	Adam	2025-03-11 12:55:00+00:00	0.0	-4.309470614138337						Rejected	-17.831501	6.0	28.484365
10200	1020	282_2025-03-18_12-33-38, 282_2025-03-18_12-36-38, 282_2025-03-18_13-00-00, 282_2025-03-18_13-31-00, 282_2025-03-18_14-32-00	282	38.0	26.0	50.0	28.0	2LaPalma_v2_ADU7	"Road 50 m, Ey slope
"	Adam		0.0	-4.29766810849545						Pending	-17.8353888882208	5.0	28.6291972212993
10210	1021	051_2025-03-18_10-56-28, 051_2025-03-18_11-01-28, 051_2025-03-18_11-21-34, 051_2025-03-18_11-25-34, 051_2025-03-18_13-00-00	051	31.0	50.0	30.0	40.0	2LaPalma_v2_ADU7	Road 100 m, Ey slope. Ey-W cable bitten by an animal	Adam		0.0	-4.296004149752532						Pending	-17.8319944224604	5.0	28.6351694209186
10220	1022												-7.957085667520832						Projected	-17.8325083328341		28.6433055534983
11040	1104	077_2025-03-12_11-50-45, 077_2025-03-12_11-53-45, 077_2025-03-12_13-00-00, 077_2025-03-12_13-06-00, 077_2025-03-12_13-17-00, 077_2025-03-12_13-44-00	077					LaPalma_ADU8	Ey slope	Adam	2025-03-12 12:01:00+00:00	0.0	-4.307216450376352						Pending	-17.82577595	6.0	28.48061548
6200	620	051_2025-03-15_12-29-48, 051_2025-03-15_12-37-48, 051_2025-03-15_13-00-00, 051_2025-03-15_13-06-00, 051_2025-03-15_13-17-00, 051_2025-03-15_13-44-00	051					LaPalma_ADU7	urban area 200m, Ey slope	Adam		0.0	-4.31213482697508						Pending	-17.8710611177649	6.0	28.6275527679143
