Calibration measurement with Solartron
Metronix GmbH, Kocherstr. 3, 38120 Braunschweig

  Magnetometer: 304    Date: 21/01/13    Time: 13:47:42


 FREQUENCY    MAGNITUDE      PHASE    
    Hz                     deg    
Chopper On
+1.0000E-01  +1.9998E-01  +8.8578E+01   
+1.2328E-01  +2.0017E-01  +8.8235E+01    
+1.5199E-01  +1.9998E-01  +8.7873E+01    
+1.8738E-01  +1.9988E-01  +8.7361E+01    
+2.3101E-01  +1.9988E-01  +8.6731E+01    
+2.8480E-01  +1.9963E-01  +8.5997E+01    
+3.5112E-01  +1.9948E-01  +8.5068E+01    
+4.3288E-01  +1.9920E-01  +8.3964E+01    
+5.3367E-01  +1.9863E-01  +8.2564E+01    
+6.5790E-01  +1.9774E-01  +8.0882E+01    
+8.1110E-01  +1.9626E-01  +7.8873E+01    
+1.0000E+00  +1.9450E-01  +7.6327E+01    
+1.2329E+00  +1.9173E-01  +7.3265E+01    
+1.5199E+00  +1.8778E-01  +6.9780E+01    
+1.8738E+00  +1.8194E-01  +6.5604E+01    
+2.3101E+00  +1.7456E-01  +6.0803E+01    
+2.8481E+00  +1.6439E-01  +5.5367E+01    
+3.5112E+00  +1.5237E-01  +4.9681E+01    
+4.3288E+00  +1.3812E-01  +4.3733E+01    
+5.3368E+00  +1.2263E-01  +3.7837E+01    
+6.5790E+00  +1.0650E-01  +3.2212E+01    
+8.1110E+00  +9.0828E-02  +2.6925E+01    
+1.0000E+01  +7.6511E-02  +2.2442E+01    
+1.2329E+01  +6.3579E-02  +1.8516E+01    
+1.5199E+01  +5.2546E-02  +1.5057E+01    
+1.8738E+01  +4.3033E-02  +1.2348E+01    
+2.3102E+01  +3.5330E-02  +9.9414E+00    
+2.8481E+01  +2.8765E-02  +8.1048E+00    
+3.5112E+01  +2.3445E-02  +6.4084E+00    
+4.3288E+01  +1.9091E-02  +5.7282E+00    
+5.3368E+01  +1.5465E-02  +4.0718E+00    
+6.5790E+01  +1.2595E-02  +3.1232E+00    
+8.1110E+01  +1.0193E-02  +2.2908E+00    
+1.0000E+02  +8.2768E-03  +1.6078E+00    
+1.2329E+02  +6.7137E-03  +9.8712E-01    
+1.5199E+02  +5.4838E-03  +1.4405E-01    
+1.8739E+02  +4.4207E-03  -1.4156E-01    
+2.3102E+02  +3.5829E-03  -7.3662E-01    
+2.8481E+02  +2.9031E-03  -1.3799E+00    
+3.5113E+02  +2.3579E-03  -2.0686E+00    
+4.3289E+02  +1.9117E-03  -2.8042E+00    
+5.3368E+02  +1.5498E-03  -3.6875E+00    
+6.5790E+02  +1.2565E-03  -4.7552E+00    
+8.1120E+02  +1.0182E-03  -6.0110E+00    
+1.0000E+03  +8.2475E-04  -7.5427E+00    
+1.2329E+03  +6.6766E-04  -9.4116E+00    
+1.5200E+03  +5.4001E-04  -1.1685E+01    
+1.8739E+03  +4.3766E-04  -1.4535E+01    
+2.3102E+03  +3.5150E-04  -1.8712E+01    
+2.8481E+03  +2.7827E-04  -2.3354E+01    
+3.5113E+03  +2.1665E-04  -2.8984E+01    
+4.3289E+03  +1.6238E-04  -3.4825E+01    
+5.3369E+03  +1.1969E-04  -3.8114E+01    
