Calibration measurement with NumetriQ PSM 3750 - 0.1.100000.1.39 
Metronix GmbH, Kocherstr. 3, 38120 Braunschweig
                                               
Magnetometer: MFS07e#726    Date: 23/10/05    Time: 07:52:53
                                        
                                        
FREQUENCY    MAGNITUDE    PHASE         
Hz           V/(nT*Hz)    deg           
Chopper On
+4.0000E-01  +1.9957E-02  +8.9277E+01   
+5.5579E-01  +1.9885E-02  +8.8987E+01   
+7.7227E-01  +1.9986E-02  +8.8603E+01   
+1.0731E+00  +1.9919E-02  +8.8097E+01   
+1.4910E+00  +1.9840E-02  +8.7389E+01   
+2.0718E+00  +1.9846E-02  +8.6402E+01   
+2.8787E+00  +1.9814E-02  +8.5009E+01   
+4.0000E+00  +1.9768E-02  +8.3114E+01   
+5.5580E+00  +1.9598E-02  +8.0483E+01   
+7.7228E+00  +1.9369E-02  +7.6872E+01   
+1.0731E+01  +1.8853E-02  +7.1910E+01   
+1.4910E+01  +1.7861E-02  +6.6760E+01   
+2.0718E+01  +1.7011E-02  +5.8011E+01   
+2.8787E+01  +1.4987E-02  +4.9191E+01   
+4.0000E+01  +1.2713E-02  +3.9608E+01   
+5.5580E+01  +1.0198E-02  +3.0549E+01   
+7.7228E+01  +7.8677E-03  +2.2965E+01   
+1.0731E+02  +5.8937E-03  +1.6774E+01   
+1.4910E+02  +4.3546E-03  +1.2016E+01   
+2.0718E+02  +3.1588E-03  +8.1930E+00   
+2.8787E+02  +2.2871E-03  +5.2303E+00   
+4.0000E+02  +1.6509E-03  +2.8475E+00   
+5.5580E+02  +1.1884E-03  +7.3345E-01   
+7.7228E+02  +8.5487E-04  -1.2479E+00   
+1.0731E+03  +6.1438E-04  -3.3312E+00   
+1.4910E+03  +4.4106E-04  -5.7448E+00   
+2.0718E+03  +3.1443E-04  -8.6404E+00   
+2.8787E+03  +2.2570E-04  -1.2607E+01   
+4.0000E+03  +1.6022E-04  -1.7710E+01   
+5.5580E+03  +1.1271E-04  -2.4407E+01   
+7.7228E+03  +7.8127E-05  -3.3145E+01   
+1.0731E+04  +5.3135E-05  -4.4316E+01   
+1.4910E+04  +3.5387E-05  -5.9019E+01   
+2.0718E+04  +2.2708E-05  -7.7159E+01   
+2.8787E+04  +1.3891E-05  -1.0207E+02   
+4.0000E+04  +7.3767E-06  -1.3244E+02   
+5.5580E+04  +3.7801E-06  -1.6149E+02   
+7.7228E+04  +1.9191E-06  -2.0528E+02   
+1.0000E+05  +1.0160E-06  -2.2883E+02   
                                        
                                        
FREQUENCY    MAGNITUDE    PHASE         
Hz           V/(nT*Hz)    deg           
Chopper Off
+4.0000E-01  +1.0579E-02  +1.4823E+02   
+5.5579E-01  +1.3170E-02  +1.3934E+02   
+7.7227E-01  +1.5613E-02  +1.2979E+02   
+1.0731E+00  +1.7571E-02  +1.2041E+02   
+1.4910E+00  +1.8941E-02  +1.1191E+02   
+2.0718E+00  +1.9796E-02  +1.0457E+02   
+2.8787E+00  +2.0278E-02  +9.8248E+01   
+4.0000E+00  +2.0472E-02  +9.2565E+01   
+5.5580E+00  +2.0479E-02  +8.7122E+01   
+7.7228E+00  +2.0284E-02  +8.1406E+01   
+1.0731E+01  +1.9794E-02  +7.4929E+01   
+1.4910E+01  +1.8795E-02  +6.7500E+01   
+2.0718E+01  +1.7582E-02  +5.8612E+01   
+2.8787E+01  +1.5495E-02  +4.8931E+01   
+4.0000E+01  +1.3005E-02  +3.9109E+01   
+5.5580E+01  +1.0355E-02  +2.9856E+01   
+7.7228E+01  +7.9552E-03  +2.2449E+01   
+1.0731E+02  +5.9284E-03  +1.6265E+01   
+1.4910E+02  +4.3571E-03  +1.1298E+01   
+2.0718E+02  +3.1647E-03  +7.8691E+00   
+2.8787E+02  +2.2892E-03  +5.0257E+00   
+4.0000E+02  +1.6518E-03  +2.6967E+00   
+5.5580E+02  +1.1895E-03  +7.0324E-01   
+7.7228E+02  +8.5605E-04  -1.2306E+00   
+1.0731E+03  +6.1558E-04  -3.2789E+00   
+1.4910E+03  +4.4197E-04  -5.6747E+00   
+2.0718E+03  +3.1683E-04  -8.6693E+00   
+2.8787E+03  +2.2635E-04  -1.2534E+01   
+4.0000E+03  +1.6076E-04  -1.7622E+01   
+5.5580E+03  +1.1310E-04  -2.4305E+01   
+7.7228E+03  +7.8415E-05  -3.3005E+01   
+1.0731E+04  +5.3338E-05  -4.4128E+01   
+1.4910E+04  +3.5579E-05  -5.8753E+01   
+2.0718E+04  +2.2844E-05  -7.6929E+01   
+2.8787E+04  +1.3994E-05  -1.0183E+02   
+4.0000E+04  +7.4339E-06  -1.3218E+02   
+5.5580E+04  +3.8173E-06  -1.6138E+02   
+7.7228E+04  +1.9300E-06  -2.0559E+02   
+1.0000E+05  +1.0188E-06  -2.2918E+02   

