Calibration measurement with Solartron
Metronix GmbH, Kocherstr. 3, 38120 Braunschweig

  Magnetometer: 164    Date: 25/01/12    Time: 11:07:40

 FREQUENCY    MAGNITUDE      PHASE    
    Hz                     deg    
Chopper On
+4.0000E-01  +2.0083E-02  +8.9223E+01   
+5.5580E-01  +2.0065E-02  +8.8959E+01    
+7.7230E-01  +2.0063E-02  +8.8615E+01    
+1.0731E+00  +2.0057E-02  +8.8165E+01    
+1.4910E+00  +2.0013E-02  +8.7373E+01    
+2.0718E+00  +2.0067E-02  +8.6383E+01    
+2.8787E+00  +2.0008E-02  +8.4978E+01    
+4.0000E+00  +1.9945E-02  +8.3098E+01    
+5.5580E+00  +1.9868E-02  +8.0482E+01    
+7.7230E+00  +1.9584E-02  +7.6787E+01    
+1.0731E+01  +1.9072E-02  +7.1975E+01    
+1.4910E+01  +1.8307E-02  +6.5762E+01    
+2.0718E+01  +1.7039E-02  +5.7715E+01    
+2.8788E+01  +1.5133E-02  +4.8983E+01    
+4.0000E+01  +1.2780E-02  +3.9610E+01    
+5.5580E+01  +1.0183E-02  +3.0124E+01    
+7.7230E+01  +7.9015E-03  +2.3145E+01    
+1.0731E+02  +5.9201E-03  +1.7014E+01    
+1.4910E+02  +4.3608E-03  +1.2069E+01    
+2.0717E+02  +3.1688E-03  +8.4528E+00    
+2.8788E+02  +2.2980E-03  +5.5852E+00    
+4.0000E+02  +1.6604E-03  +3.4253E+00    
+5.5580E+02  +1.1972E-03  +1.4738E+00    
+7.7230E+02  +8.6169E-04  -2.1638E-01    
+1.0731E+03  +6.2197E-04  -1.9554E+00    
+1.4911E+03  +4.4878E-04  -4.0104E+00    
+2.0718E+03  +3.2297E-04  -6.4154E+00    
+2.8788E+03  +2.3388E-04  -9.9879E+00    
+4.0000E+03  +1.6892E-04  -1.4656E+01    
+5.5580E+03  +1.2208E-04  -2.1375E+01    
+7.7230E+03  +8.6762E-05  -3.0937E+01    
+1.0731E+04  +6.0496E-05  -4.3713E+01    
+1.4910E+04  +4.0749E-05  -6.1179E+01    
+2.0718E+04  +2.5167E-05  -8.2435E+01    
+2.8788E+04  +1.4651E-05  -1.0779E+02    
+4.0000E+04  +7.8214E-06  -1.3936E+02    
+5.5581E+04  +3.5411E-06  -1.7665E+02    
+6.0000E+04  +2.8421E-06  +1.7514E+02    
                                        
                                        
 FREQUENCY    MAGNITUDE      PHASE       
    Hz                     deg          
Chopper Off                             
+4.0000E-01  +1.0658E-02  +1.4850E+02   
+5.5580E-01  +1.3277E-02  +1.3952E+02    
+7.7230E-01  +1.5716E-02  +1.2986E+02    
+1.0731E+00  +1.7748E-02  +1.2063E+02    
+1.4910E+00  +1.9108E-02  +1.1197E+02    
+2.0718E+00  +1.9962E-02  +1.0464E+02    
+2.8787E+00  +2.0434E-02  +9.8286E+01    
+4.0000E+00  +2.0660E-02  +9.2561E+01    
+5.5580E+00  +2.0684E-02  +8.7109E+01    
+7.7230E+00  +2.0467E-02  +8.1318E+01    
+1.0731E+01  +2.0032E-02  +7.4890E+01    
+1.4910E+01  +1.9122E-02  +6.7283E+01    
+2.0718E+01  +1.7567E-02  +5.8760E+01    
+2.8788E+01  +1.5646E-02  +4.8655E+01    
+4.0000E+01  +1.3072E-02  +3.9040E+01    
+5.5580E+01  +1.0526E-02  +3.0455E+01    
+7.7230E+01  +7.9809E-03  +2.2395E+01    
+1.0731E+02  +5.9550E-03  +1.6382E+01    
+1.4910E+02  +4.3734E-03  +1.1716E+01    
+2.0717E+02  +3.1770E-03  +8.1395E+00    
+2.8788E+02  +2.3022E-03  +5.4425E+00    
+4.0000E+02  +1.6612E-03  +3.2789E+00    
+5.5580E+02  +1.1988E-03  +1.4021E+00    
+7.7230E+02  +8.6473E-04  -2.2882E-01    
+1.0731E+03  +6.2297E-04  -2.0046E+00    
+1.4911E+03  +4.4976E-04  -4.0679E+00    
+2.0718E+03  +3.2468E-04  -6.6811E+00    
+2.8788E+03  +2.3450E-04  -1.0130E+01    
+4.0000E+03  +1.6937E-04  -1.4853E+01    
+5.5580E+03  +1.2246E-04  -2.1691E+01    
+7.7230E+03  +8.6915E-05  -3.1435E+01    
+1.0731E+04  +6.0442E-05  -4.4378E+01    
+1.4910E+04  +4.0550E-05  -6.2001E+01    
+2.0718E+04  +2.4905E-05  -8.3318E+01    
+2.8788E+04  +1.4419E-05  -1.0858E+02    
+4.0000E+04  +7.6545E-06  -1.4001E+02    
+5.5581E+04  +3.4541E-06  -1.7695E+02    
+6.0000E+04  +2.7724E-06  +1.7492E+02    
