Calibration measurement with NumetriQ PSM 3750 - 0.1.100000.1.39 
Metronix GmbH, Kocherstr. 3, 38120 Braunschweig
                                               
Magnetometer: MFS07e#601    Date: 19/12/06    Time: 07:28:48
                                        
                                        
FREQUENCY    MAGNITUDE    PHASE         
Hz           V/(nT*Hz)    deg           
Chopper On
+4.0000E-01  +1.9972E-02  +8.9234E+01   
+5.5579E-01  +1.9904E-02  +8.8972E+01   
+7.7227E-01  +1.9976E-02  +8.8595E+01   
+1.0731E+00  +1.9940E-02  +8.8092E+01   
+1.4910E+00  +1.9862E-02  +8.7388E+01   
+2.0718E+00  +1.9858E-02  +8.6398E+01   
+2.8787E+00  +1.9828E-02  +8.5007E+01   
+4.0000E+00  +1.9768E-02  +8.3140E+01   
+5.5580E+00  +1.9618E-02  +8.0486E+01   
+7.7228E+00  +1.9375E-02  +7.6966E+01   
+1.0731E+01  +1.8938E-02  +7.2074E+01   
+1.4910E+01  +1.8178E-02  +6.5895E+01   
+2.0718E+01  +1.6909E-02  +5.8067E+01   
+2.8787E+01  +1.5048E-02  +4.9112E+01   
+4.0000E+01  +1.2733E-02  +3.9642E+01   
+5.5580E+01  +1.0317E-02  +3.0680E+01   
+7.7228E+01  +7.8950E-03  +2.2951E+01   
+1.0731E+02  +5.9025E-03  +1.6785E+01   
+1.4910E+02  +4.3396E-03  +1.1816E+01   
+2.0718E+02  +3.1574E-03  +8.2146E+00   
+2.8787E+02  +2.2863E-03  +5.3210E+00   
+4.0000E+02  +1.6501E-03  +2.9657E+00   
+5.5580E+02  +1.1888E-03  +9.8796E-01   
+7.7228E+02  +8.5546E-04  -8.7722E-01   
+1.0731E+03  +6.1515E-04  -2.8225E+00   
+1.4910E+03  +4.4238E-04  -5.0412E+00   
+2.0718E+03  +3.1479E-04  -7.6032E+00   
+2.8787E+03  +2.2781E-04  -1.1404E+01   
+4.0000E+03  +1.6292E-04  -1.6236E+01   
+5.5580E+03  +1.1597E-04  -2.2879E+01   
+7.7228E+03  +8.1246E-05  -3.2240E+01   
+1.0731E+04  +5.5091E-05  -4.4553E+01   
+1.4910E+04  +3.5477E-05  -6.0094E+01   
+2.0718E+04  +2.0899E-05  -7.6468E+01   
+2.8787E+04  +1.2532E-05  -9.3114E+01   
+4.0000E+04  +7.6281E-06  -1.1869E+02   
+5.5580E+04  +4.0323E-06  -1.5485E+02   
+7.7228E+04  +1.7195E-06  -1.8765E+02   
+1.0000E+05  +1.0604E-06  -2.0543E+02   
                                        
                                        
FREQUENCY    MAGNITUDE    PHASE         
Hz           V/(nT*Hz)    deg           
Chopper Off
+4.0000E-01  +1.0396E-02  +1.4884E+02   
+5.5579E-01  +1.2985E-02  +1.4001E+02   
+7.7227E-01  +1.5443E-02  +1.3043E+02   
+1.0731E+00  +1.7444E-02  +1.2099E+02   
+1.4910E+00  +1.8852E-02  +1.1239E+02   
+2.0718E+00  +1.9732E-02  +1.0494E+02   
+2.8787E+00  +2.0220E-02  +9.8529E+01   
+4.0000E+00  +2.0430E-02  +9.2819E+01   
+5.5580E+00  +2.0446E-02  +8.7285E+01   
+7.7228E+00  +2.0256E-02  +8.1503E+01   
+1.0731E+01  +1.9796E-02  +7.5029E+01   
+1.4910E+01  +1.8908E-02  +6.7464E+01   
+2.0718E+01  +1.7528E-02  +5.8667E+01   
+2.8787E+01  +1.5502E-02  +4.9019E+01   
+4.0000E+01  +1.3002E-02  +3.9193E+01   
+5.5580E+01  +1.0340E-02  +3.0659E+01   
+7.7228E+01  +7.9561E-03  +2.2451E+01   
+1.0731E+02  +5.9277E-03  +1.6321E+01   
+1.4910E+02  +4.3441E-03  +1.1583E+01   
+2.0718E+02  +3.1625E-03  +7.9702E+00   
+2.8787E+02  +2.2894E-03  +5.1430E+00   
+4.0000E+02  +1.6518E-03  +2.8887E+00   
+5.5580E+02  +1.1896E-03  +9.2175E-01   
+7.7228E+02  +8.5664E-04  -9.1126E-01   
+1.0731E+03  +6.1615E-04  -2.8346E+00   
+1.4910E+03  +4.4299E-04  -5.0747E+00   
+2.0718E+03  +3.1818E-04  -7.8545E+00   
+2.8787E+03  +2.2826E-04  -1.1480E+01   
+4.0000E+03  +1.6325E-04  -1.6337E+01   
+5.5580E+03  +1.1625E-04  -2.3002E+01   
+7.7228E+03  +8.1414E-05  -3.2591E+01   
+1.0731E+04  +5.5022E-05  -4.4966E+01   
+1.4910E+04  +3.5302E-05  -6.0484E+01   
+2.0718E+04  +2.0767E-05  -7.6725E+01   
+2.8787E+04  +1.2437E-05  -9.3219E+01   
+4.0000E+04  +7.5764E-06  -1.1867E+02   
+5.5580E+04  +4.0124E-06  -1.5478E+02   
+7.7228E+04  +1.7132E-06  -1.8763E+02   
+1.0000E+05  +1.0570E-06  -2.0545E+02   

