Calibration measurement with Solartron
Metronix GmbH, Kocherstr. 3, 38120 Braunschweig

  Magnetometer: 167    Date: 25/01/12    Time: 12:08:10

 FREQUENCY    MAGNITUDE      PHASE    
    Hz                     deg    
Chopper On
+4.0000E-01  +2.0023E-02  +8.9226E+01   
+5.5580E-01  +2.0024E-02  +8.8953E+01    
+7.7230E-01  +2.0013E-02  +8.8607E+01    
+1.0731E+00  +1.9995E-02  +8.8101E+01    
+1.4910E+00  +2.0009E-02  +8.7358E+01    
+2.0718E+00  +1.9958E-02  +8.6368E+01    
+2.8787E+00  +1.9923E-02  +8.4992E+01    
+4.0000E+00  +1.9886E-02  +8.3100E+01    
+5.5580E+00  +1.9768E-02  +8.0497E+01    
+7.7230E+00  +1.9509E-02  +7.6903E+01    
+1.0731E+01  +1.9026E-02  +7.1996E+01    
+1.4910E+01  +1.8238E-02  +6.5799E+01    
+2.0718E+01  +1.7011E-02  +5.8661E+01    
+2.8788E+01  +1.5127E-02  +4.9090E+01    
+4.0000E+01  +1.2780E-02  +3.9740E+01    
+5.5580E+01  +1.0199E-02  +3.1468E+01    
+7.7230E+01  +7.9054E-03  +2.3191E+01    
+1.0731E+02  +5.9313E-03  +1.6925E+01    
+1.4910E+02  +4.3578E-03  +1.2125E+01    
+2.0717E+02  +3.1727E-03  +8.3974E+00    
+2.8788E+02  +2.2981E-03  +5.6730E+00    
+4.0000E+02  +1.6584E-03  +3.4364E+00    
+5.5580E+02  +1.1973E-03  +1.6255E+00    
+7.7230E+02  +8.6360E-04  -1.7184E-01    
+1.0731E+03  +6.2278E-04  -1.8543E+00    
+1.4911E+03  +4.4994E-04  -3.8808E+00    
+2.0718E+03  +3.2436E-04  -6.3338E+00    
+2.8788E+03  +2.3496E-04  -9.9215E+00    
+4.0000E+03  +1.6994E-04  -1.4665E+01    
+5.5580E+03  +1.2294E-04  -2.1494E+01    
+7.7230E+03  +8.7547E-05  -3.1233E+01    
+1.0731E+04  +6.1049E-05  -4.4325E+01    
+1.4910E+04  +4.1060E-05  -6.2142E+01    
+2.0718E+04  +2.5271E-05  -8.3758E+01    
+2.8788E+04  +1.4687E-05  -1.0958E+02    
+4.0000E+04  +7.7501E-06  -1.4218E+02    
+5.5581E+04  +3.4043E-06  -1.7950E+02    
+6.0000E+04  +2.7205E-06  +1.7258E+02    
                                        
                                        
 FREQUENCY    MAGNITUDE      PHASE       
    Hz                     deg          
Chopper Off                             
+4.0000E-01  +1.0391E-02  +1.4835E+02   
+5.5580E-01  +1.2965E-02  +1.3967E+02    
+7.7230E-01  +1.5407E-02  +1.3029E+02    
+1.0731E+00  +1.7406E-02  +1.2079E+02    
+1.4910E+00  +1.8814E-02  +1.1242E+02    
+2.0718E+00  +1.9736E-02  +1.0503E+02    
+2.8787E+00  +2.0211E-02  +9.8655E+01    
+4.0000E+00  +2.0465E-02  +9.2890E+01    
+5.5580E+00  +2.0429E-02  +8.7352E+01    
+7.7230E+00  +2.0318E-02  +8.1606E+01    
+1.0731E+01  +1.9819E-02  +7.5087E+01    
+1.4910E+01  +1.8986E-02  +6.7564E+01    
+2.0718E+01  +1.7552E-02  +5.9110E+01    
+2.8788E+01  +1.5579E-02  +4.9035E+01    
+4.0000E+01  +1.3054E-02  +3.9248E+01    
+5.5580E+01  +1.0434E-02  +2.9448E+01    
+7.7230E+01  +7.9712E-03  +2.2572E+01    
+1.0731E+02  +5.9459E-03  +1.6529E+01    
+1.4910E+02  +4.3681E-03  +1.1755E+01    
+2.0717E+02  +3.1769E-03  +8.2710E+00    
+2.8788E+02  +2.3002E-03  +5.5720E+00    
+4.0000E+02  +1.6594E-03  +3.3586E+00    
+5.5580E+02  +1.1967E-03  +1.5852E+00    
+7.7230E+02  +8.6295E-04  -3.8917E-02    
+1.0731E+03  +6.2368E-04  -1.7709E+00    
+1.4911E+03  +4.5068E-04  -3.7659E+00    
+2.0718E+03  +3.2563E-04  -6.3254E+00    
+2.8788E+03  +2.3549E-04  -9.7347E+00    
+4.0000E+03  +1.7035E-04  -1.4394E+01    
+5.5580E+03  +1.2334E-04  -2.1117E+01    
+7.7230E+03  +8.7918E-05  -3.0733E+01    
+1.0731E+04  +6.1477E-05  -4.3674E+01    
+1.4910E+04  +4.1511E-05  -6.1372E+01    
+2.0718E+04  +2.5689E-05  -8.2950E+01    
+2.8788E+04  +1.5017E-05  -1.0885E+02    
+4.0000E+04  +7.9714E-06  -1.4170E+02    
+5.5581E+04  +3.5090E-06  -1.7947E+02    
+6.0000E+04  +2.7997E-06  +1.7248E+02    
