Calibration measurement with Solartron
Metronix GmbH, Kocherstr. 3, 38120 Braunschweig

  Magnetometer: 307    Date: 22/01/13    Time: 08:13:47


 FREQUENCY    MAGNITUDE      PHASE    
    Hz                     deg    
Chopper On
+1.0000E-01  +1.9989E-01  +8.8538E+01   
+1.2328E-01  +2.0000E-01  +8.8238E+01    
+1.5199E-01  +1.9986E-01  +8.7826E+01    
+1.8738E-01  +1.9974E-01  +8.7339E+01    
+2.3101E-01  +1.9968E-01  +8.6744E+01    
+2.8480E-01  +1.9939E-01  +8.5992E+01    
+3.5112E-01  +1.9936E-01  +8.5048E+01    
+4.3288E-01  +1.9929E-01  +8.3831E+01    
+5.3367E-01  +1.9849E-01  +8.2514E+01    
+6.5790E-01  +1.9766E-01  +8.0904E+01    
+8.1110E-01  +1.9610E-01  +7.8620E+01    
+1.0000E+00  +1.9505E-01  +7.6373E+01    
+1.2329E+00  +1.9174E-01  +7.3195E+01    
+1.5199E+00  +1.8766E-01  +6.9664E+01    
+1.8738E+00  +1.8213E-01  +6.5410E+01    
+2.3101E+00  +1.7447E-01  +6.0703E+01    
+2.8481E+00  +1.6422E-01  +5.5264E+01    
+3.5112E+00  +1.5191E-01  +4.9513E+01    
+4.3288E+00  +1.3774E-01  +4.3609E+01    
+5.3368E+00  +1.2233E-01  +3.7731E+01    
+6.5790E+00  +1.0611E-01  +3.2017E+01    
+8.1110E+00  +9.0550E-02  +2.6938E+01    
+1.0000E+01  +7.6202E-02  +2.2349E+01    
+1.2329E+01  +6.3296E-02  +1.8416E+01    
+1.5199E+01  +5.2317E-02  +1.5075E+01    
+1.8738E+01  +4.2882E-02  +1.1769E+01    
+2.3102E+01  +3.5142E-02  +9.6501E+00    
+2.8481E+01  +2.8650E-02  +8.0372E+00    
+3.5112E+01  +2.3215E-02  +6.5422E+00    
+4.3288E+01  +1.8820E-02  +4.9289E+00    
+5.3368E+01  +1.5384E-02  +3.9647E+00    
+6.5790E+01  +1.2487E-02  +3.1392E+00    
+8.1110E+01  +1.0143E-02  +2.2452E+00    
+1.0000E+02  +8.2259E-03  +1.5836E+00    
+1.2329E+02  +6.6704E-03  +9.1870E-01    
+1.5199E+02  +5.4297E-03  -1.2518E-01    
+1.8739E+02  +4.3963E-03  -2.6700E-01    
+2.3102E+02  +3.5645E-03  -8.1541E-01    
+2.8481E+02  +2.8904E-03  -1.4286E+00    
+3.5113E+02  +2.3426E-03  -2.1382E+00    
+4.3289E+02  +1.8994E-03  -2.8972E+00    
+5.3368E+02  +1.5392E-03  -3.7965E+00    
+6.5790E+02  +1.2466E-03  -4.8423E+00    
+8.1120E+02  +1.0103E-03  -6.1066E+00    
+1.0000E+03  +8.1819E-04  -7.6295E+00    
+1.2329E+03  +6.6148E-04  -9.5031E+00    
+1.5200E+03  +5.3403E-04  -1.1807E+01    
+1.8739E+03  +4.3049E-04  -1.4685E+01    
+2.3102E+03  +3.4490E-04  -1.8274E+01    
+2.8481E+03  +2.7362E-04  -2.2742E+01    
+3.5113E+03  +2.1281E-04  -2.8164E+01    
+4.3289E+03  +1.5912E-04  -3.3280E+01    
+5.3369E+03  +1.1955E-04  -3.5719E+01    
