Calibration measurement with Solartron
Metronix GmbH, Kocherstr. 3, 38120 Braunschweig

  Magnetometer: 284    Date: 19/09/13    Time: 14:17:08


 FREQUENCY    MAGNITUDE      PHASE    
    Hz                     deg    
Chopper On
+4.0000E-01  +2.0040E-02  +8.9262E+01   
+5.5580E-01  +2.0031E-02  +8.8983E+01    
+7.7230E-01  +1.9977E-02  +8.8624E+01    
+1.0731E+00  +1.9908E-02  +8.8118E+01    
+1.4910E+00  +1.9903E-02  +8.7413E+01    
+2.0718E+00  +1.9880E-02  +8.6463E+01    
+2.8787E+00  +1.9954E-02  +8.5052E+01    
+4.0000E+00  +1.9887E-02  +8.3190E+01    
+5.5580E+00  +1.9702E-02  +8.0600E+01    
+7.7230E+00  +1.9405E-02  +7.7122E+01    
+1.0731E+01  +1.8892E-02  +7.2415E+01    
+1.4910E+01  +1.8316E-02  +6.6058E+01    
+2.0718E+01  +1.7027E-02  +5.8071E+01    
+2.8788E+01  +1.5167E-02  +4.9478E+01    
+4.0000E+01  +1.2866E-02  +4.0027E+01    
+5.5580E+01  +1.0316E-02  +3.1125E+01    
+7.7230E+01  +7.9913E-03  +2.3322E+01    
+1.0731E+02  +5.9848E-03  +1.6987E+01    
+1.4910E+02  +4.3999E-03  +1.2130E+01    
+2.0717E+02  +3.2051E-03  +8.2654E+00    
+2.8788E+02  +2.3179E-03  +5.3532E+00    
+4.0000E+02  +1.6712E-03  +3.0277E+00    
+5.5580E+02  +1.2042E-03  +1.0606E+00    
+7.7230E+02  +8.6716E-04  -7.7345E-01    
+1.0731E+03  +6.2393E-04  -2.6855E+00    
+1.4911E+03  +4.4871E-04  -4.8905E+00    
+2.0718E+03  +3.2078E-04  -7.7506E+00    
+2.8788E+03  +2.3150E-04  -1.1066E+01    
+4.0000E+03  +1.6605E-04  -1.5717E+01    
+5.5580E+03  +1.1896E-04  -2.2032E+01    
+7.7230E+03  +8.4954E-05  -3.0777E+01    
+1.0731E+04  +6.0328E-05  -4.2879E+01    
+1.4910E+04  +4.2634E-05  -6.0132E+01    
+2.0718E+04  +2.8635E-05  -8.4978E+01    
+2.8788E+04  +1.7399E-05  -1.2206E+02    
+4.0000E+04  +7.2434E-06  -1.6857E+02    
+5.5581E+04  +2.0881E-06  +1.6280E+02    
+6.0000E+04  +1.5803E-06  +1.6089E+02    
                                        
 FREQUENCY    MAGNITUDE      PHASE       
    Hz                     deg          
Chopper Off                             
+4.0000E-01  +1.0735E-02  +1.4769E+02   
+5.5580E-01  +1.3333E-02  +1.3887E+02    
+7.7230E-01  +1.5756E-02  +1.2931E+02    
+1.0731E+00  +1.7677E-02  +1.1993E+02    
+1.4910E+00  +1.9033E-02  +1.1154E+02    
+2.0718E+00  +1.9848E-02  +1.0431E+02    
+2.8787E+00  +2.0319E-02  +9.8066E+01    
+4.0000E+00  +2.0492E-02  +9.2529E+01    
+5.5580E+00  +2.0523E-02  +8.7106E+01    
+7.7230E+00  +2.0340E-02  +8.1421E+01    
+1.0731E+01  +1.9886E-02  +7.5096E+01    
+1.4910E+01  +1.9005E-02  +6.7552E+01    
+2.0718E+01  +1.7514E-02  +5.9238E+01    
+2.8788E+01  +1.5622E-02  +4.9224E+01    
+4.0000E+01  +1.3120E-02  +3.9457E+01    
+5.5580E+01  +1.0441E-02  +3.0428E+01    
+7.7230E+01  +8.0375E-03  +2.2675E+01    
+1.0731E+02  +6.0008E-03  +1.6532E+01    
+1.4910E+02  +4.4046E-03  +1.1797E+01    
+2.0717E+02  +3.2045E-03  +8.1006E+00    
+2.8788E+02  +2.3185E-03  +5.2663E+00    
+4.0000E+02  +1.6728E-03  +3.0299E+00    
+5.5580E+02  +1.2057E-03  +1.0635E+00    
+7.7230E+02  +8.6846E-04  -7.5126E-01    
+1.0731E+03  +6.2501E-04  -2.6490E+00    
+1.4911E+03  +4.4953E-04  -4.8343E+00    
+2.0718E+03  +3.2304E-04  -7.5271E+00    
+2.8788E+03  +2.3196E-04  -1.0989E+01    
+4.0000E+03  +1.6641E-04  -1.5613E+01    
+5.5580E+03  +1.1917E-04  -2.1884E+01    
+7.7230E+03  +8.5132E-05  -3.0495E+01    
+1.0731E+04  +6.0571E-05  -4.2486E+01    
+1.4910E+04  +4.2952E-05  -5.9648E+01    
+2.0718E+04  +2.8998E-05  -8.4498E+01    
+2.8788E+04  +1.7731E-05  -1.2189E+02    
+4.0000E+04  +7.3635E-06  -1.6890E+02    
+5.5581E+04  +2.1092E-06  +1.6236E+02    
+6.0000E+04  +1.5944E-06  +1.6046E+02    
