Calibration measurement with NumetriQ PSM 3750 - 0.1.100000.1.39 
Metronix GmbH, Kocherstr. 3, 38120 Braunschweig
                                               
Magnetometer: MFS07e#599    Date: 19/12/05    Time: 11:14:54
                                        
                                        
FREQUENCY    MAGNITUDE    PHASE         
Hz           V/(nT*Hz)    deg           
Chopper On
+4.0000E-01  +1.9956E-02  +8.9237E+01   
+5.5579E-01  +1.9889E-02  +8.8974E+01   
+7.7227E-01  +1.9962E-02  +8.8602E+01   
+1.0731E+00  +1.9920E-02  +8.8092E+01   
+1.4910E+00  +1.9848E-02  +8.7403E+01   
+2.0718E+00  +1.9846E-02  +8.6417E+01   
+2.8787E+00  +1.9823E-02  +8.5062E+01   
+4.0000E+00  +1.9768E-02  +8.3165E+01   
+5.5580E+00  +1.9607E-02  +8.0547E+01   
+7.7228E+00  +1.9380E-02  +7.6993E+01   
+1.0731E+01  +1.8931E-02  +7.2222E+01   
+1.4910E+01  +1.8184E-02  +6.6032E+01   
+2.0718E+01  +1.6921E-02  +5.8239E+01   
+2.8787E+01  +1.5081E-02  +4.9265E+01   
+4.0000E+01  +1.2784E-02  +3.9791E+01   
+5.5580E+01  +1.0244E-02  +3.0866E+01   
+7.7228E+01  +7.9141E-03  +2.3105E+01   
+1.0731E+02  +5.9270E-03  +1.6741E+01   
+1.4910E+02  +4.3676E-03  +1.1812E+01   
+2.0718E+02  +3.1705E-03  +8.1213E+00   
+2.8787E+02  +2.2915E-03  +5.2432E+00   
+4.0000E+02  +1.6532E-03  +2.8951E+00   
+5.5580E+02  +1.1908E-03  +9.4394E-01   
+7.7228E+02  +8.5753E-04  -9.2267E-01   
+1.0731E+03  +6.1650E-04  -2.8553E+00   
+1.4910E+03  +4.4330E-04  -5.1528E+00   
+2.0718E+03  +3.1658E-04  -7.8198E+00   
+2.8787E+03  +2.2842E-04  -1.1590E+01   
+4.0000E+03  +1.6335E-04  -1.6485E+01   
+5.5580E+03  +1.1647E-04  -2.3211E+01   
+7.7228E+03  +8.1405E-05  -3.3198E+01   
+1.0731E+04  +5.4561E-05  -4.5669E+01   
+1.4910E+04  +3.4677E-05  -6.1103E+01   
+2.0718E+04  +2.0238E-05  -7.6518E+01   
+2.8787E+04  +1.2185E-05  -9.1908E+01   
+4.0000E+04  +7.5660E-06  -1.1689E+02   
+5.5580E+04  +4.0426E-06  -1.5314E+02   
+7.7228E+04  +1.7440E-06  -1.8597E+02   
+1.0000E+05  +1.0899E-06  -2.0390E+02   
                                        
                                        
FREQUENCY    MAGNITUDE    PHASE         
Hz           V/(nT*Hz)    deg           
Chopper Off
+4.0000E-01  +1.0443E-02  +1.4858E+02   
+5.5579E-01  +1.3015E-02  +1.3973E+02   
+7.7227E-01  +1.5469E-02  +1.3018E+02   
+1.0731E+00  +1.7435E-02  +1.2076E+02   
+1.4910E+00  +1.8828E-02  +1.1222E+02   
+2.0718E+00  +1.9691E-02  +1.0483E+02   
+2.8787E+00  +2.0176E-02  +9.8452E+01   
+4.0000E+00  +2.0392E-02  +9.2754E+01   
+5.5580E+00  +2.0399E-02  +8.7275E+01   
+7.7228E+00  +2.0214E-02  +8.1512E+01   
+1.0731E+01  +1.9746E-02  +7.5089E+01   
+1.4910E+01  +1.8884E-02  +6.7508E+01   
+2.0718E+01  +1.7491E-02  +5.8777E+01   
+2.8787E+01  +1.5487E-02  +4.9134E+01   
+4.0000E+01  +1.3005E-02  +3.9314E+01   
+5.5580E+01  +1.0402E-02  +3.0392E+01   
+7.7228E+01  +7.9497E-03  +2.2573E+01   
+1.0731E+02  +5.9400E-03  +1.6407E+01   
+1.4910E+02  +4.3471E-03  +1.1620E+01   
+2.0718E+02  +3.1690E-03  +8.0112E+00   
+2.8787E+02  +2.2939E-03  +5.2092E+00   
+4.0000E+02  +1.6553E-03  +2.9250E+00   
+5.5580E+02  +1.1926E-03  +9.5180E-01   
+7.7228E+02  +8.5793E-04  -8.8434E-01   
+1.0731E+03  +6.1764E-04  -2.8361E+00   
+1.4910E+03  +4.4396E-04  -5.0566E+00   
+2.0718E+03  +3.1903E-04  -7.8439E+00   
+2.8787E+03  +2.2879E-04  -1.1472E+01   
+4.0000E+03  +1.6363E-04  -1.6339E+01   
+5.5580E+03  +1.1663E-04  -2.3008E+01   
+7.7228E+03  +8.1621E-05  -3.2781E+01   
+1.0731E+04  +5.4908E-05  -4.5177E+01   
+1.4910E+04  +3.5031E-05  -6.0628E+01   
+2.0718E+04  +2.0489E-05  -7.6166E+01   
+2.8787E+04  +1.2365E-05  -9.1735E+01   
+4.0000E+04  +7.6845E-06  -1.1683E+02   
+5.5580E+04  +4.1040E-06  -1.5332E+02   
+7.7228E+04  +1.7648E-06  -1.8631E+02   
+1.0000E+05  +1.1001E-06  -2.0430E+02   

