Calibration measurement with Solartron
Metronix GmbH, Kocherstr. 3, 38120 Braunschweig

  Magnetometer: 143    Date: 15/11/11    Time: 12:45:14


 FREQUENCY    MAGNITUDE      PHASE    
    Hz                     deg    
Chopper On
+4.0000E-01  +2.0047E-02  +8.9230E+01   
+5.5580E-01  +2.0033E-02  +8.8957E+01    
+7.7230E-01  +2.0035E-02  +8.8515E+01    
+1.0731E+00  +2.0038E-02  +8.8027E+01    
+1.4910E+00  +2.0026E-02  +8.7246E+01    
+2.0718E+00  +1.9981E-02  +8.6370E+01    
+2.8787E+00  +1.9952E-02  +8.4982E+01    
+4.0000E+00  +1.9876E-02  +8.3049E+01    
+5.5580E+00  +1.9751E-02  +8.0452E+01    
+7.7230E+00  +1.9499E-02  +7.6839E+01    
+1.0731E+01  +1.9088E-02  +7.2103E+01    
+1.4910E+01  +1.8252E-02  +6.5683E+01    
+2.0718E+01  +1.7006E-02  +5.7572E+01    
+2.8788E+01  +1.5117E-02  +4.9116E+01    
+4.0000E+01  +1.2788E-02  +3.9629E+01    
+5.5580E+01  +1.0165E-02  +3.0536E+01    
+7.7230E+01  +7.9072E-03  +2.3066E+01    
+1.0731E+02  +5.9047E-03  +1.6886E+01    
+1.4910E+02  +4.3510E-03  +1.1975E+01    
+2.0717E+02  +3.1719E-03  +8.1733E+00    
+2.8788E+02  +2.2914E-03  +5.5176E+00    
+4.0000E+02  +1.6531E-03  +3.3058E+00    
+5.5580E+02  +1.1928E-03  +1.4445E+00    
+7.7230E+02  +8.6113E-04  -2.7722E-01    
+1.0731E+03  +6.2021E-04  -2.0353E+00    
+1.4911E+03  +4.4736E-04  -4.1391E+00    
+2.0718E+03  +3.2138E-04  -6.5248E+00    
+2.8788E+03  +2.3248E-04  -1.0065E+01    
+4.0000E+03  +1.6751E-04  -1.4650E+01    
+5.5580E+03  +1.2054E-04  -2.0891E+01    
+7.7230E+03  +8.6748E-05  -2.9545E+01    
+1.0731E+04  +6.2276E-05  -4.2186E+01    
+1.4910E+04  +4.3779E-05  -6.0768E+01    
+2.0718E+04  +2.7744E-05  -8.7087E+01    
+2.8788E+04  +1.4973E-05  -1.1893E+02    
+4.0000E+04  +6.6518E-06  -1.4974E+02    
+5.5581E+04  +2.9711E-06  -1.7772E+02    
+6.0000E+04  +2.4429E-06  +1.7502E+02    
                                        
                                        
 FREQUENCY    MAGNITUDE      PHASE       
    Hz                     deg          
Chopper Off                             
+4.0000E-01  +9.9088E-03  +1.4989E+02   
+5.5580E-01  +1.2479E-02  +1.4143E+02    
+7.7230E-01  +1.4991E-02  +1.3208E+02    
+1.0731E+00  +1.7112E-02  +1.2271E+02    
+1.4910E+00  +1.8667E-02  +1.1382E+02    
+2.0718E+00  +1.9646E-02  +1.0611E+02    
+2.8787E+00  +2.0215E-02  +9.9463E+01    
+4.0000E+00  +2.0471E-02  +9.3467E+01    
+5.5580E+00  +2.0490E-02  +8.7787E+01    
+7.7230E+00  +2.0298E-02  +8.1893E+01    
+1.0731E+01  +1.9853E-02  +7.5267E+01    
+1.4910E+01  +1.9035E-02  +6.7571E+01    
+2.0718E+01  +1.7589E-02  +5.8395E+01    
+2.8788E+01  +1.5518E-02  +4.8984E+01    
+4.0000E+01  +1.3035E-02  +3.9266E+01    
+5.5580E+01  +1.0359E-02  +2.9660E+01    
+7.7230E+01  +7.9565E-03  +2.2525E+01    
+1.0731E+02  +5.9415E-03  +1.6387E+01    
+1.4910E+02  +4.3558E-03  +1.1759E+01    
+2.0717E+02  +3.1602E-03  +8.2969E+00    
+2.8788E+02  +2.2928E-03  +5.4535E+00    
+4.0000E+02  +1.6562E-03  +3.2739E+00    
+5.5580E+02  +1.1942E-03  +1.4858E+00    
+7.7230E+02  +8.6155E-04  -2.9547E-01    
+1.0731E+03  +6.2094E-04  -1.9577E+00    
+1.4911E+03  +4.4773E-04  -3.9967E+00    
+2.0718E+03  +3.2303E-04  -6.5287E+00    
+2.8788E+03  +2.3286E-04  -9.8530E+00    
+4.0000E+03  +1.6781E-04  -1.4348E+01    
+5.5580E+03  +1.2075E-04  -2.0447E+01    
+7.7230E+03  +8.7043E-05  -2.8872E+01    
+1.0731E+04  +6.2680E-05  -4.1247E+01    
+1.4910E+04  +4.4368E-05  -5.9669E+01    
+2.0718E+04  +2.8438E-05  -8.5873E+01    
+2.8788E+04  +1.5490E-05  -1.1817E+02    
+4.0000E+04  +6.8932E-06  -1.4957E+02    
+5.5581E+04  +3.0717E-06  -1.7795E+02    
+6.0000E+04  +2.5236E-06  +1.7473E+02    
