Calibration measurement with Solartron
Metronix GmbH, Kocherstr. 3, 38120 Braunschweig

  Magnetometer: 053    Date: 14/12/10    Time: 12:30:12


 FREQUENCY    MAGNITUDE      PHASE    
    Hz                     deg    
Chopper On
+4.0000E-01  +2.0037E-02  +8.9245E+01   
+5.5580E-01  +2.0031E-02  +8.8978E+01    
+7.7230E-01  +2.0031E-02  +8.8617E+01    
+1.0731E+00  +2.0019E-02  +8.8098E+01    
+1.4910E+00  +2.0017E-02  +8.7328E+01    
+2.0718E+00  +1.9995E-02  +8.6381E+01    
+2.8787E+00  +1.9913E-02  +8.5002E+01    
+4.0000E+00  +1.9879E-02  +8.3118E+01    
+5.5580E+00  +1.9774E-02  +8.0474E+01    
+7.7230E+00  +1.9530E-02  +7.6848E+01    
+1.0731E+01  +1.9038E-02  +7.2106E+01    
+1.4910E+01  +1.8285E-02  +6.5853E+01    
+2.0718E+01  +1.7123E-02  +5.7564E+01    
+2.8788E+01  +1.5138E-02  +4.9265E+01    
+4.0000E+01  +1.2802E-02  +3.9831E+01    
+5.5580E+01  +1.0182E-02  +3.1100E+01    
+7.7230E+01  +7.9404E-03  +2.3193E+01    
+1.0731E+02  +5.9417E-03  +1.7045E+01    
+1.4910E+02  +4.3748E-03  +1.2131E+01    
+2.0717E+02  +3.1786E-03  +8.5786E+00    
+2.8788E+02  +2.3046E-03  +5.6047E+00    
+4.0000E+02  +1.6638E-03  +3.3991E+00    
+5.5580E+02  +1.2002E-03  +1.5502E+00    
+7.7230E+02  +8.6528E-04  -1.1659E-01    
+1.0731E+03  +6.2591E-04  -2.0369E+00    
+1.4911E+03  +4.5245E-04  -4.2143E+00    
+2.0718E+03  +3.2529E-04  -7.0133E+00    
+2.8788E+03  +2.3678E-04  -1.0806E+01    
+4.0000E+03  +1.7110E-04  -1.6084E+01    
+5.5580E+03  +1.2310E-04  -2.3616E+01    
+7.7230E+03  +8.6842E-05  -3.4120E+01    
+1.0731E+04  +5.9454E-05  -4.8326E+01    
+1.4910E+04  +3.8271E-05  -6.6763E+01    
+2.0718E+04  +2.2094E-05  -8.6627E+01    
+2.8788E+04  +1.2756E-05  -1.0739E+02    
+4.0000E+04  +7.2057E-06  -1.3768E+02    
+5.5581E+04  +3.3133E-06  -1.7595E+02    
+6.0000E+04  +2.6610E-06  +1.7582E+02    
                                        
 FREQUENCY    MAGNITUDE      PHASE       
    Hz                     deg          
Chopper Off                             
+4.0000E-01  +1.0425E-02  +1.4839E+02   
+5.5580E-01  +1.2996E-02  +1.3962E+02    
+7.7230E-01  +1.5446E-02  +1.3015E+02    
+1.0731E+00  +1.7431E-02  +1.2100E+02    
+1.4910E+00  +1.8806E-02  +1.1241E+02    
+2.0718E+00  +1.9723E-02  +1.0489E+02    
+2.8787E+00  +2.0194E-02  +9.8545E+01    
+4.0000E+00  +2.0429E-02  +9.2850E+01    
+5.5580E+00  +2.0434E-02  +8.7356E+01    
+7.7230E+00  +2.0288E-02  +8.1651E+01    
+1.0731E+01  +1.9755E-02  +7.5226E+01    
+1.4910E+01  +1.8955E-02  +6.7633E+01    
+2.0718E+01  +1.7378E-02  +5.9709E+01    
+2.8788E+01  +1.5496E-02  +4.9006E+01    
+4.0000E+01  +1.3057E-02  +3.9490E+01    
+5.5580E+01  +1.0479E-02  +2.9660E+01    
+7.7230E+01  +7.9941E-03  +2.2702E+01    
+1.0731E+02  +5.9681E-03  +1.6437E+01    
+1.4910E+02  +4.3817E-03  +1.1826E+01    
+2.0717E+02  +3.1787E-03  +8.1767E+00    
+2.8788E+02  +2.3067E-03  +5.5494E+00    
+4.0000E+02  +1.6650E-03  +3.3907E+00    
+5.5580E+02  +1.2016E-03  +1.6000E+00    
+7.7230E+02  +8.6715E-04  -2.2181E-01    
+1.0731E+03  +6.2697E-04  -1.9183E+00    
+1.4911E+03  +4.5333E-04  -4.0546E+00    
+2.0718E+03  +3.2785E-04  -6.7992E+00    
+2.8788E+03  +2.3727E-04  -1.0509E+01    
+4.0000E+03  +1.7152E-04  -1.5654E+01    
+5.5580E+03  +1.2355E-04  -2.2989E+01    
+7.7230E+03  +8.7427E-05  -3.3274E+01    
+1.0731E+04  +6.0120E-05  -4.7238E+01    
+1.4910E+04  +3.8994E-05  -6.5587E+01    
+2.0718E+04  +2.2743E-05  -8.5537E+01    
+2.8788E+04  +1.3181E-05  -1.0650E+02    
+4.0000E+04  +7.4956E-06  -1.3707E+02    
+5.5581E+04  +3.4555E-06  -1.7592E+02    
+6.0000E+04  +2.7727E-06  +1.7572E+02    
