Calibration measurement with Solartron
Metronix GmbH, Kocherstr. 3, 38120 Braunschweig

  Magnetometer: 305    Date: 21/01/13    Time: 14:09:25


 FREQUENCY    MAGNITUDE      PHASE    
    Hz                     deg    
Chopper On
+1.0000E-01  +2.0006E-01  +8.8545E+01   
+1.2328E-01  +2.0011E-01  +8.8235E+01    
+1.5199E-01  +2.0002E-01  +8.7847E+01    
+1.8738E-01  +1.9993E-01  +8.7339E+01    
+2.3101E-01  +1.9988E-01  +8.6724E+01    
+2.8480E-01  +1.9958E-01  +8.5961E+01    
+3.5112E-01  +1.9947E-01  +8.5058E+01    
+4.3288E-01  +1.9884E-01  +8.3988E+01    
+5.3367E-01  +1.9861E-01  +8.2681E+01    
+6.5790E-01  +1.9782E-01  +8.0839E+01    
+8.1110E-01  +1.9698E-01  +7.8750E+01    
+1.0000E+00  +1.9474E-01  +7.6422E+01    
+1.2329E+00  +1.9168E-01  +7.3293E+01    
+1.5199E+00  +1.8782E-01  +6.9813E+01    
+1.8738E+00  +1.8271E-01  +6.5496E+01    
+2.3101E+00  +1.7464E-01  +6.0858E+01    
+2.8481E+00  +1.6433E-01  +5.5366E+01    
+3.5112E+00  +1.5268E-01  +4.9768E+01    
+4.3288E+00  +1.3821E-01  +4.3771E+01    
+5.3368E+00  +1.2268E-01  +3.7824E+01    
+6.5790E+00  +1.0663E-01  +3.2196E+01    
+8.1110E+00  +9.0969E-02  +2.6986E+01    
+1.0000E+01  +7.6609E-02  +2.2497E+01    
+1.2329E+01  +6.3721E-02  +1.8474E+01    
+1.5199E+01  +5.2633E-02  +1.5090E+01    
+1.8738E+01  +4.3058E-02  +1.2510E+01    
+2.3102E+01  +3.5379E-02  +9.9632E+00    
+2.8481E+01  +2.8822E-02  +8.0387E+00    
+3.5112E+01  +2.3518E-02  +6.5177E+00    
+4.3288E+01  +1.9094E-02  +5.6341E+00    
+5.3368E+01  +1.5488E-02  +4.0123E+00    
+6.5790E+01  +1.2612E-02  +3.0572E+00    
+8.1110E+01  +1.0210E-02  +2.2894E+00    
+1.0000E+02  +8.2831E-03  +1.5825E+00    
+1.2329E+02  +6.7242E-03  +9.4017E-01    
+1.5199E+02  +5.4903E-03  +4.7100E-01    
+1.8739E+02  +4.4246E-03  -1.8450E-01    
+2.3102E+02  +3.5875E-03  -7.7948E-01    
+2.8481E+02  +2.9115E-03  -1.3544E+00    
+3.5113E+02  +2.3620E-03  -2.0366E+00    
+4.3289E+02  +1.9145E-03  -2.7934E+00    
+5.3368E+02  +1.5521E-03  -3.6785E+00    
+6.5790E+02  +1.2582E-03  -4.7540E+00    
+8.1120E+02  +1.0204E-03  -6.0250E+00    
+1.0000E+03  +8.2678E-04  -7.5764E+00    
+1.2329E+03  +6.6928E-04  -9.4894E+00    
+1.5200E+03  +5.4129E-04  -1.1849E+01    
+1.8739E+03  +4.3718E-04  -1.4792E+01    
+2.3102E+03  +3.5109E-04  -1.8695E+01    
+2.8481E+03  +2.7847E-04  -2.3439E+01    
+3.5113E+03  +2.1641E-04  -2.9214E+01    
+4.3289E+03  +1.6114E-04  -3.4949E+01    
+5.3369E+03  +1.1919E-04  -3.7591E+01    
