Calibration measurement with NumetriQ PSM 3750 - 0.1.100000.1.39 
Metronix GmbH, Kocherstr. 3, 38120 Braunschweig
                                               
Magnetometer: MFS07e#737    Date: 23/10/06    Time: 06:33:54
                                        
                                        
FREQUENCY    MAGNITUDE    PHASE         
Hz           V/(nT*Hz)    deg           
Chopper On
+4.0000E-01  +1.9973E-02  +8.9273E+01   
+5.5579E-01  +1.9902E-02  +8.8991E+01   
+7.7227E-01  +2.0003E-02  +8.8606E+01   
+1.0731E+00  +1.9937E-02  +8.8109E+01   
+1.4910E+00  +1.9856E-02  +8.7415E+01   
+2.0718E+00  +1.9862E-02  +8.6438E+01   
+2.8787E+00  +1.9830E-02  +8.5077E+01   
+4.0000E+00  +1.9782E-02  +8.3195E+01   
+5.5580E+00  +1.9625E-02  +8.0594E+01   
+7.7228E+00  +1.9395E-02  +7.7047E+01   
+1.0731E+01  +1.8953E-02  +7.2340E+01   
+1.4910E+01  +1.8334E-02  +6.6339E+01   
+2.0718E+01  +1.6923E-02  +5.8455E+01   
+2.8787E+01  +1.5104E-02  +4.9347E+01   
+4.0000E+01  +1.2827E-02  +3.9891E+01   
+5.5580E+01  +1.0317E-02  +3.1099E+01   
+7.7228E+01  +7.9689E-03  +2.3034E+01   
+1.0731E+02  +5.9640E-03  +1.6729E+01   
+1.4910E+02  +4.3712E-03  +1.1924E+01   
+2.0718E+02  +3.1866E-03  +7.9737E+00   
+2.8787E+02  +2.3034E-03  +5.0161E+00   
+4.0000E+02  +1.6610E-03  +2.6584E+00   
+5.5580E+02  +1.1952E-03  +6.3019E-01   
+7.7228E+02  +8.5990E-04  -1.3352E+00   
+1.0731E+03  +6.1821E-04  -3.4360E+00   
+1.4910E+03  +4.4396E-04  -5.8977E+00   
+2.0718E+03  +3.1730E-04  -9.1554E+00   
+2.8787E+03  +2.2721E-04  -1.2925E+01   
+4.0000E+03  +1.6124E-04  -1.8159E+01   
+5.5580E+03  +1.1331E-04  -2.5047E+01   
+7.7228E+03  +7.8406E-05  -3.4011E+01   
+1.0731E+04  +5.3148E-05  -4.5455E+01   
+1.4910E+04  +3.5196E-05  -6.0450E+01   
+2.0718E+04  +2.2401E-05  -7.8763E+01   
+2.8787E+04  +1.3565E-05  -1.0367E+02   
+4.0000E+04  +7.1633E-06  -1.3377E+02   
+5.5580E+04  +3.6611E-06  -1.6267E+02   
+7.7228E+04  +1.8679E-06  -2.0629E+02   
+1.0000E+05  +9.8918E-07  -2.3052E+02   
                                        
                                        
FREQUENCY    MAGNITUDE    PHASE         
Hz           V/(nT*Hz)    deg           
Chopper Off
+4.0000E-01  +1.0329E-02  +1.4908E+02   
+5.5579E-01  +1.2921E-02  +1.4032E+02   
+7.7227E-01  +1.5414E-02  +1.3079E+02   
+1.0731E+00  +1.7431E-02  +1.2134E+02   
+1.4910E+00  +1.8877E-02  +1.1271E+02   
+2.0718E+00  +1.9780E-02  +1.0522E+02   
+2.8787E+00  +2.0292E-02  +9.8737E+01   
+4.0000E+00  +2.0512E-02  +9.2949E+01   
+5.5580E+00  +2.0533E-02  +8.7404E+01   
+7.7228E+00  +2.0342E-02  +8.1613E+01   
+1.0731E+01  +1.9881E-02  +7.5139E+01   
+1.4910E+01  +1.9022E-02  +6.7586E+01   
+2.0718E+01  +1.7607E-02  +5.8767E+01   
+2.8787E+01  +1.5571E-02  +4.9047E+01   
+4.0000E+01  +1.3070E-02  +3.9220E+01   
+5.5580E+01  +1.0397E-02  +3.0262E+01   
+7.7228E+01  +7.9937E-03  +2.2500E+01   
+1.0731E+02  +5.9633E-03  +1.6307E+01   
+1.4910E+02  +4.3949E-03  +1.1618E+01   
+2.0718E+02  +3.1822E-03  +7.8723E+00   
+2.8787E+02  +2.3027E-03  +5.0149E+00   
+4.0000E+02  +1.6614E-03  +2.6648E+00   
+5.5580E+02  +1.1966E-03  +6.5053E-01   
+7.7228E+02  +8.6109E-04  -1.3098E+00   
+1.0731E+03  +6.1906E-04  -3.4027E+00   
+1.4910E+03  +4.4453E-04  -5.8408E+00   
+2.0718E+03  +3.1855E-04  -8.8903E+00   
+2.8787E+03  +2.2750E-04  -1.2836E+01   
+4.0000E+03  +1.6150E-04  -1.8033E+01   
+5.5580E+03  +1.1353E-04  -2.4862E+01   
+7.7228E+03  +7.8605E-05  -3.3763E+01   
+1.0731E+04  +5.3344E-05  -4.5146E+01   
+1.4910E+04  +3.5412E-05  -6.0092E+01   
+2.0718E+04  +2.2653E-05  -7.8369E+01   
+2.8787E+04  +1.3784E-05  -1.0354E+02   
+4.0000E+04  +7.2705E-06  -1.3402E+02   
+5.5580E+04  +3.6962E-06  -1.6309E+02   
+7.7228E+04  +1.8774E-06  -2.0669E+02   
+1.0000E+05  +9.9123E-07  -2.3085E+02   

